dataset,model,policy,policy_key,seed,n_stream_rows,n_init_train_rows,scorer,n_alarms,n_adaptations,n_skip,n_nudge,n_rebuild,n_degraded,n_alarms_deferred,n_alarms_coalesced,n_alarms_unserved,n_reference_carried,n_nudge_attempts,n_nudge_successes,n_adaptations_with_placeholders,total_placeholder_rows,initial_placeholder_rows,n_adaptations_on_falling_error,work_units_on_falling_error,total_work_units,total_estimators_fitted,total_rows_processed,total_passes,total_wall_clock_s,total_energy_kwh,initial_work_units,final_prequential_accuracy,mean_prequential_accuracy,final_prequential_balanced_accuracy,mean_prequential_balanced_accuracy,model_size_unit,initial_model_size,final_model_size,initial_n_nodes,final_n_nodes,inference_unit,initial_inference_units,final_inference_units,inference_growth,initial_predict_us_per_row,final_predict_us_per_row,run_wall_clock_s,config_json
insects_incremental,rf,FixedSchedule(k=3),fixed_schedule,0,51317,4560,balanced_accuracy,4,4,0,3,1,0,0,0,0,0,3,,0,0,0,0,0,112000,115,3400,115,0.4794873000064399,,456000,0.59,0.4053627452890855,0.5885190044155896,0.40536016258685065,trees,100,100,190346,39598,node_visits,1245.109,994.611,0.7988144009881866,26.035299997602124,16.781099999207072,3.872024899996177,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_incremental,sgd,AlwaysRebuild,always_rebuild,0,51317,4560,balanced_accuracy,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,,902880,0.235,0.23561392910731335,0.234109997910836,0.2356354756202942,params,204,204,,,params_read,204.0,204.0,1.0,0.22819999867351726,0.22370000078808516,0.5806509000030928,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_incremental,sgd,MechanismSelector,mechanism_selector,0,51317,4560,balanced_accuracy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,902880,0.235,0.23561392910731335,0.234109997910836,0.2356354756202942,params,204,204,,,params_read,204.0,204.0,1.0,0.2334000018890947,0.22159999934956431,0.6116595999992569,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
insects_incremental,sgd,FixedSchedule(k=3),fixed_schedule,0,51317,4560,balanced_accuracy,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0.0,,902880,0.235,0.23561392910731335,0.234109997910836,0.2356354756202942,params,204,204,,,params_read,204.0,204.0,1.0,0.23579999833600596,0.2649999951245263,0.5997828000035952,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
covtype,rf,AlwaysRebuild,always_rebuild,0,90000,8000,balanced_accuracy,95,95,0,0,95,0,3,0,0,9,0,,93,438,0,6,184000,6795200,9500,67952,9500,20.43083039997873,,800000,0.918,0.8983111111111111,0.6482327065983051,0.6283355384857207,trees,100,100,285840,11294,node_visits,1536.801,677.484,0.4408404211085235,25.345200003357604,12.654300000576768,25.885662000000593,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
covtype,rf,MechanismSelector,mechanism_selector,0,90000,8000,balanced_accuracy,125,125,19,0,106,33,10,0,0,26,73,0,105,835,0,21,511200,6116960,10965,102088,10965,22.569370199984405,,800000,0.919,0.8662888888888889,0.6500542002230774,0.618907818057927,trees,100,100,285840,11294,node_visits,1536.801,677.484,0.4408404211085235,17.290600000706036,13.392000000749249,30.304417899998953,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
covtype,rf,FixedSchedule(k=3),fixed_schedule,0,90000,8000,balanced_accuracy,162,162,0,108,54,0,9,0,0,35,108,,160,768,0,28,125440,1909910,5940,60046,5940,11.741480399956345,,800000,0.921,0.8685,0.6312292662898149,0.8151123870953414,trees,100,100,285840,4592,node_visits,1536.801,572.852,0.37275613433359295,17.632199997024145,11.41240000288235,20.487900599997374,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
covtype,sgd,AlwaysRebuild,always_rebuild,0,90000,8000,balanced_accuracy,264,264,0,0,264,0,48,0,0,152,0,,261,1271,0,133,29180320,64090208,0,65488,261269,32.77459180000733,,1832000,0.682,0.6561555555555556,0.4623390174918307,0.34750212217165555,params,385,385,,,params_read,385.0,385.0,1.0,0.4680999991251156,0.3082999974139966,35.71501400000125,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
covtype,sgd,MechanismSelector,mechanism_selector,0,90000,8000,balanced_accuracy,251,251,75,11,165,145,37,0,0,119,31,11,164,800,0,99,10244918,31659946,0,45502,164122,16.990512299962575,,1832000,0.834,0.7355888888888888,0.5624616708313882,0.29756746523436,params,385,385,,,params_read,385.0,385.0,1.0,0.2719000040087849,0.2629000009619631,19.73004110000329,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
covtype,sgd,FixedSchedule(k=3),fixed_schedule,0,90000,8000,balanced_accuracy,251,251,0,168,83,0,39,0,0,145,168,,83,406,0,110,7864716,25354427,0,63743,83168,13.339037199933955,,1832000,0.812,0.7446333333333334,0.4718904174790162,0.30594266485024807,params,385,385,,,params_read,385.0,385.0,1.0,0.2932999996119179,0.2717000024858862,16.07838189999893,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": false}"
