dataset,model,policy,policy_key,seed,n_stream_rows,n_init_train_rows,scorer,n_alarms,n_adaptations,n_skip,n_nudge,n_rebuild,n_degraded,n_alarms_deferred,n_alarms_coalesced,n_alarms_unserved,n_reference_carried,n_nudge_attempts,n_nudge_successes,n_adaptations_with_placeholders,total_placeholder_rows,initial_placeholder_rows,total_work_units,total_estimators_fitted,total_rows_processed,total_passes,total_wall_clock_s,total_energy_kwh,initial_work_units,final_prequential_accuracy,mean_prequential_accuracy,final_prequential_balanced_accuracy,mean_prequential_balanced_accuracy,model_size_unit,initial_model_size,final_model_size,initial_n_nodes,final_n_nodes,inference_unit,initial_inference_units,final_inference_units,inference_growth,initial_predict_us_per_row,final_predict_us_per_row,run_wall_clock_s,config_json
insects_abrupt,xgb,AlwaysRebuild,always_rebuild,0,47564,4227,balanced_accuracy,9,9,0,0,9,0,0,0,0,0,0,,0,0,0,900000,900,9000,900,9.842903999993723,7.151898305588801e-05,422700,0.39,0.5604448742746615,0.4344803614876607,0.5608586746253009,rounds,100,100,29416,11532,node_visits,3673.036,2357.422,0.6418183758612767,17.52399999895715,12.543400000140537,15.347635599999194,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,xgb,MechanismSelector,mechanism_selector,0,47564,4227,balanced_accuracy,11,11,5,1,5,0,0,0,0,0,6,1,4,15,0,476575,530,8979,530,4.743384300003527,4.359504638955624e-05,422700,0.45,0.45650071482633925,0.35811283454987836,0.4539220111710304,rounds,100,105,29416,3502,node_visits,3673.036,1294.357,0.35239431358690737,18.09750000029453,9.104000000661472,10.29272470000069,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,xgb,FixedSchedule(k=3),fixed_schedule,0,47564,4227,balanced_accuracy,11,11,0,8,3,0,0,0,0,0,8,,3,10,0,325405,340,8841,340,5.275729800006957,4.700126194510521e-05,422700,0.489,0.4942603649819191,0.5841599322210635,0.49527412446460356,rounds,100,110,29416,15468,node_visits,3673.036,2874.613,0.7826258713500222,18.179299997427734,15.065699997649062,11.170575400003145,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,xgb,AlwaysNudge,always_nudge,0,47564,4227,balanced_accuracy,10,10,0,10,0,0,0,0,0,0,10,,2,3,0,40000,50,8000,50,2.157172700000956,3.7717322777774145e-05,422700,0.226,0.501219409637541,0.5375825512686826,0.5031137949391248,rounds,100,150,29416,40844,node_visits,3673.036,5286.679,1.4393213134856289,18.33239999905345,18.238500000734348,8.85228090000237,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,xgb,NeverAdapt,never_adapt,0,47564,4227,balanced_accuracy,9,9,9,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.0,2.0925888055877855e-05,422700,0.276,0.5618324783449667,0.6358500608272507,0.5689607474919983,rounds,100,100,29416,29416,node_visits,3673.036,3673.036,1.0,18.009399998845765,18.875900001148693,5.838422500000888,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,rf,AlwaysRebuild,always_rebuild,0,47564,4227,balanced_accuracy,10,10,0,0,10,0,0,0,0,0,0,,2,3,0,986400,1000,9864,1000,4.220383799987758,3.5863166943776666e-05,422700,0.273,0.5696535194685056,0.5554549009384775,0.5708400955606064,trees,100,100,122898,22084,node_visits,1307.418,1010.821,0.7731429428078855,20.22949999809498,18.191399998613633,8.885942299999442,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,rf,MechanismSelector,mechanism_selector,0,47564,4227,balanced_accuracy,10,10,2,0,8,1,0,0,0,1,7,0,4,15,0,740800,835,12728,835,3.3320635999989463,3.0818976667008277e-05,422700,0.365,0.48862585148431587,0.46356773548835595,0.4871714719878207,trees,100,100,122898,32218,node_visits,1307.418,1010.041,0.7725463470749219,22.52049999879091,17.526100000395672,8.091660300000513,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,rf,FixedSchedule(k=3),fixed_schedule,0,47564,4227,balanced_accuracy,9,9,0,6,3,0,0,0,0,1,6,,2,6,0,236800,330,6928,330,1.042438199998287,1.947416666632836e-05,422700,0.365,0.39979816668068285,0.46356773548835595,0.3983950886365979,trees,100,100,122898,32218,node_visits,1307.418,1010.041,0.7725463470749219,24.35739999782527,18.164500001148554,5.64034779999929,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,rf,AlwaysNudge,always_nudge,0,47564,4227,balanced_accuracy,8,8,0,8,0,0,0,0,0,0,8,,4,13,0,30045,40,6009,40,0.15531460000420338,1.6967083888562785e-05,422700,0.239,0.5553990412917332,0.6327750260688216,0.5631407576107854,trees,100,100,122898,81142,node_visits,1307.418,1073.278,0.8209141988254713,21.994499998982064,20.131099998252466,5.135130000002391,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
insects_abrupt,rf,NeverAdapt,never_adapt,0,47564,4227,balanced_accuracy,9,9,9,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0.0,1.5182057499330736e-05,422700,0.223,0.5569127911866117,0.6585179874869657,0.5648869061435934,trees,100,100,122898,122898,node_visits,1307.418,1307.418,1.0,21.606500002235407,21.9251999988046,4.7922598000004655,"{""adwin_delta"": 0.002, ""buffer_size"": 1000, ""chunk_size"": 2000, ""energy_country_iso"": ""USA"", ""eval_block"": 1000, ""floor_drop"": 0.02, ""holdout_frac"": 0.2, ""init_frac"": 0.1, ""init_holdout_frac"": 0.2, ""k"": 3, ""min_buffer"": 100, ""n_ref"": 200, ""probe_rows"": 1000, ""track_energy"": true}"
