model,dataset,seed,prediction_change_pct,accuracy_gain_pp
xgb,covtype,0,8.5,12.377279102384298
xgb,covtype,0,9.5,6.293402777777768
xgb,covtype,0,0.0,0.0
xgb,covtype,0,0.0,0.0
xgb,covtype,0,0.0,0.0
xgb,covtype,0,0.0,0.0
xgb,covtype,0,15.5,2.28336495888678
xgb,covtype,0,16.0,25.9377664109122
xgb,covtype,0,10.344827586206897,1.4880952380952328
xgb,covtype,0,3.4482758620689653,1.1842105263157876
xgb,covtype,0,0.0,0.0
xgb,covtype,0,3.125,1.9607843137254832
xgb,covtype,0,14.084507042253522,8.222591362126241
xgb,covtype,0,0.0,0.0
xgb,covtype,0,15.5,19.517543859649123
xgb,covtype,0,6.896551724137931,2.5454545454545396
xgb,covtype,0,1.9230769230769231,-1.0869565217391353
xgb,covtype,0,8.620689655172415,3.3333333333333215
xgb,covtype,0,5.172413793103448,0.6832298136645987
xgb,covtype,0,5.172413793103448,5.1724137931034475
xgb,covtype,0,7.6923076923076925,1.4285714285714235
xgb,covtype,0,0.0,0.0
xgb,covtype,0,0.0,0.0
xgb,covtype,0,9.0,2.3592085235920823
xgb,covtype,0,1.7241379310344827,1.515151515151525
xgb,covtype,0,1.7241379310344827,2.1739130434782594
xgb,covtype,0,14.0625,-12.857142857142856
xgb,covtype,0,10.344827586206897,-5.575757575757578
xgb,covtype,0,12.5,-5.123152709359608
xgb,covtype,0,13.793103448275861,3.448275862068967
xgb,covtype,0,0.0,0.0
xgb,covtype,0,2.2222222222222223,2.2222222222222254
xgb,covtype,0,12.5,8.272058823529404
xgb,covtype,0,28.846153846153843,6.371814092953521
xgb,covtype,0,0.0,0.0
xgb,covtype,0,12.0,3.715395823215162
xgb,covtype,0,17.24137931034483,5.168269230769229
xgb,covtype,0,20.689655172413794,8.29326923076924
xgb,covtype,0,17.24137931034483,-7.080745341614902
xgb,covtype,0,11.538461538461538,15.000000000000002
xgb,covtype,0,5.128205128205128,-3.4482758620689613
xgb,covtype,0,0.0,0.0
xgb,covtype,0,6.896551724137931,-2.7644230769230838
xgb,covtype,0,12.5,-5.714285714285705
xgb,covtype,0,1.9230769230769231,-1.9230769230769162
xgb,covtype,0,40.0,-39.99999999999999
xgb,covtype,0,12.280701754385964,-5.902777777777779
xgb,covtype,0,26.0,24.456521739130437
xgb,covtype,0,15.5,17.432393137539982
xgb,covtype,0,16.5,21.430940142596576
xgb,covtype,0,6.896551724137931,-2.4999999999999964
xgb,covtype,0,3.8461538461538463,-5.000000000000004
xgb,covtype,0,0.0,0.0
xgb,covtype,0,0.0,0.0
xgb,covtype,0,8.88888888888889,5.25242223355431
xgb,covtype,0,1.834862385321101,0.0
xgb,covtype,0,10.344827586206897,0.2631578947368429
xgb,insects_abrupt,0,8.0,-0.5826689650219041
xgb,insects_abrupt,0,79.5,21.832779623477297
xgb,insects_abrupt,0,25.0,-3.9540692007797307
xgb,insects_abrupt,0,53.0,7.44152046783626
xgb,insects_abrupt,0,44.0,6.30877850031365
xgb,insects_abrupt,0,41.5,5.892244867535568
xgb,insects_abrupt,0,17.0,1.9999999999999962
xgb,insects_abrupt,0,28.999999999999996,-2.7406021473817987
xgb,insects_abrupt,0,22.0,9.265001470732425
