dataset,model,policy,stream_position_pct,cumulative_cost_pct_of_rebuild_total
covtype,xgb,AlwaysNudge,97.56333333333333,3.8740776005712925
covtype,xgb,AlwaysNudge,97.84777777777778,3.8892525589145444
covtype,xgb,AlwaysNudge,98.09666666666666,3.9025678409902405
covtype,xgb,AlwaysNudge,98.31,3.913949059747679
covtype,xgb,AlwaysNudge,98.80777777777777,3.9405796238990716
covtype,xgb,AlwaysNudge,99.41222222222223,3.972937990954535
covtype,xgb,AlwaysNudge,99.73222222222222,3.990047012616044
covtype,xgb,AlwaysNudge,100.0,3.990047012616044
covtype,xgb,NeverAdapt,0.0,0.0
covtype,xgb,NeverAdapt,0.8166666666666667,0.0
covtype,xgb,NeverAdapt,1.4922222222222221,0.0
covtype,xgb,NeverAdapt,3.1277777777777778,0.0
covtype,xgb,NeverAdapt,4.585555555555556,0.0
covtype,xgb,NeverAdapt,5.7588888888888885,0.0
covtype,xgb,NeverAdapt,7.8566666666666665,0.0
covtype,xgb,NeverAdapt,8.034444444444444,0.0
covtype,xgb,NeverAdapt,8.212222222222222,0.0
covtype,xgb,NeverAdapt,8.425555555555556,0.0
covtype,xgb,NeverAdapt,8.567777777777778,0.0
covtype,xgb,NeverAdapt,8.78111111111111,0.0
covtype,xgb,NeverAdapt,9.03,0.0
covtype,xgb,NeverAdapt,9.278888888888888,0.0
covtype,xgb,NeverAdapt,9.492222222222223,0.0
covtype,xgb,NeverAdapt,9.741111111111111,0.0
covtype,xgb,NeverAdapt,9.99,0.0
covtype,xgb,NeverAdapt,12.692222222222222,0.0
covtype,xgb,NeverAdapt,13.047777777777778,0.0
covtype,xgb,NeverAdapt,13.296666666666667,0.0
covtype,xgb,NeverAdapt,14.363333333333333,0.0
covtype,xgb,NeverAdapt,14.967777777777778,0.0
covtype,xgb,NeverAdapt,15.252222222222223,0.0
covtype,xgb,NeverAdapt,15.572222222222223,0.0
covtype,xgb,NeverAdapt,15.856666666666667,0.0
covtype,xgb,NeverAdapt,16.176666666666666,0.0
covtype,xgb,NeverAdapt,19.092222222222222,0.0
covtype,xgb,NeverAdapt,19.447777777777777,0.0
covtype,xgb,NeverAdapt,20.265555555555554,0.0
covtype,xgb,NeverAdapt,22.683333333333334,0.0
covtype,xgb,NeverAdapt,24.105555555555554,0.0
covtype,xgb,NeverAdapt,24.532222222222224,0.0
covtype,xgb,NeverAdapt,24.923333333333332,0.0
covtype,xgb,NeverAdapt,25.17222222222222,0.0
covtype,xgb,NeverAdapt,25.563333333333333,0.0
covtype,xgb,NeverAdapt,27.127777777777776,0.0
covtype,xgb,NeverAdapt,27.447777777777777,0.0
covtype,xgb,NeverAdapt,27.732222222222223,0.0
covtype,xgb,NeverAdapt,28.23,0.0
covtype,xgb,NeverAdapt,28.621111111111112,0.0
covtype,xgb,NeverAdapt,29.047777777777778,0.0
covtype,xgb,NeverAdapt,29.616666666666667,0.0
covtype,xgb,NeverAdapt,30.043333333333333,0.0
covtype,xgb,NeverAdapt,30.47,0.0
covtype,xgb,NeverAdapt,30.932222222222222,0.0
covtype,xgb,NeverAdapt,31.358888888888888,0.0
covtype,xgb,NeverAdapt,31.785555555555554,0.0
covtype,xgb,NeverAdapt,32.21222222222222,0.0
covtype,xgb,NeverAdapt,32.638888888888886,0.0
covtype,xgb,NeverAdapt,33.065555555555555,0.0
covtype,xgb,NeverAdapt,34.38111111111111,0.0
covtype,xgb,NeverAdapt,35.66111111111111,0.0
covtype,xgb,NeverAdapt,36.08777777777778,0.0
covtype,xgb,NeverAdapt,36.51444444444444,0.0
covtype,xgb,NeverAdapt,36.94111111111111,0.0
covtype,xgb,NeverAdapt,37.367777777777775,0.0
covtype,xgb,NeverAdapt,38.36333333333334,0.0
covtype,xgb,NeverAdapt,38.79,0.0
covtype,xgb,NeverAdapt,39.25222222222222,0.0
covtype,xgb,NeverAdapt,40.60333333333333,0.0
covtype,xgb,NeverAdapt,49.278888888888886,0.0
covtype,xgb,NeverAdapt,50.736666666666665,0.0
covtype,xgb,NeverAdapt,53.54555555555555,0.0
covtype,xgb,NeverAdapt,57.45666666666666,0.0
covtype,xgb,NeverAdapt,57.812222222222225,0.0
covtype,xgb,NeverAdapt,58.132222222222225,0.0
covtype,xgb,NeverAdapt,58.452222222222225,0.0
covtype,xgb,NeverAdapt,60.26555555555556,0.0
covtype,xgb,NeverAdapt,60.58555555555556,0.0
covtype,xgb,NeverAdapt,61.33222222222222,0.0
covtype,xgb,NeverAdapt,61.65222222222222,0.0
covtype,xgb,NeverAdapt,61.97222222222222,0.0
covtype,xgb,NeverAdapt,62.114444444444445,0.0
covtype,xgb,NeverAdapt,62.327777777777776,0.0
covtype,xgb,NeverAdapt,62.68333333333333,0.0
covtype,xgb,NeverAdapt,63.03888888888889,0.0
covtype,xgb,NeverAdapt,63.43,0.0
covtype,xgb,NeverAdapt,63.785555555555554,0.0
covtype,xgb,NeverAdapt,67.5188888888889,0.0
covtype,xgb,NeverAdapt,67.83888888888889,0.0
covtype,xgb,NeverAdapt,68.19444444444444,0.0
covtype,xgb,NeverAdapt,68.55,0.0
covtype,xgb,NeverAdapt,68.83444444444444,0.0
covtype,xgb,NeverAdapt,69.58111111111111,0.0
covtype,xgb,NeverAdapt,69.9011111111111,0.0
covtype,xgb,NeverAdapt,70.22111111111111,0.0
covtype,xgb,NeverAdapt,70.5411111111111,0.0
covtype,xgb,NeverAdapt,70.86111111111111,0.0
covtype,xgb,NeverAdapt,71.18111111111111,0.0
covtype,xgb,NeverAdapt,71.82111111111111,0.0
covtype,xgb,NeverAdapt,72.14111111111112,0.0
covtype,xgb,NeverAdapt,72.49666666666667,0.0
covtype,xgb,NeverAdapt,75.69666666666667,0.0
covtype,xgb,NeverAdapt,76.01666666666667,0.0
covtype,xgb,NeverAdapt,76.6211111111111,0.0
covtype,xgb,NeverAdapt,76.94111111111111,0.0
covtype,xgb,NeverAdapt,83.73222222222222,0.0
covtype,xgb,NeverAdapt,84.08777777777777,0.0
covtype,xgb,NeverAdapt,84.37222222222222,0.0
covtype,xgb,NeverAdapt,84.69222222222223,0.0
covtype,xgb,NeverAdapt,85.97222222222223,0.0
covtype,xgb,NeverAdapt,86.22111111111111,0.0
covtype,xgb,NeverAdapt,86.43444444444444,0.0
covtype,xgb,NeverAdapt,86.61222222222223,0.0
covtype,xgb,NeverAdapt,88.10555555555555,0.0
covtype,xgb,NeverAdapt,88.60333333333334,0.0
covtype,xgb,NeverAdapt,88.99444444444444,0.0
covtype,xgb,NeverAdapt,89.31444444444445,0.0
covtype,xgb,NeverAdapt,93.01222222222222,0.0
covtype,xgb,NeverAdapt,93.29666666666667,0.0
covtype,xgb,NeverAdapt,93.93666666666667,0.0
covtype,xgb,NeverAdapt,94.22111111111111,0.0
covtype,xgb,NeverAdapt,94.82555555555555,0.0
covtype,xgb,NeverAdapt,95.11,0.0
covtype,xgb,NeverAdapt,97.56333333333333,0.0
covtype,xgb,NeverAdapt,100.0,0.0
covtype,rf,AlwaysRebuild,0.0,0.0
covtype,rf,AlwaysRebuild,1.278888888888889,1.4716270308453026
covtype,rf,AlwaysRebuild,1.5277777777777777,1.8012714857546503
covtype,rf,AlwaysRebuild,2.4166666666666665,2.9785731104308923
covtype,rf,AlwaysRebuild,4.372222222222222,4.450200141276195
covtype,rf,AlwaysRebuild,5.794444444444444,5.921827172121498
covtype,rf,AlwaysRebuild,6.861111111111111,7.334589121732988
covtype,rf,AlwaysRebuild,7.216666666666667,7.805509771603485
covtype,rf,AlwaysRebuild,8.034444444444444,8.888627266305628
covtype,rf,AlwaysRebuild,8.994444444444444,10.160113020955968
covtype,rf,AlwaysRebuild,10.238888888888889,11.631740051801271
covtype,rf,AlwaysRebuild,10.87888888888889,12.479397221568165
covtype,rf,AlwaysRebuild,11.625555555555556,13.46833058629621
covtype,rf,AlwaysRebuild,14.078888888888889,14.939957617141511
covtype,rf,AlwaysRebuild,14.967777777777778,16.117259241817752
covtype,rf,AlwaysRebuild,16.532222222222224,17.588886272663057
covtype,rf,AlwaysRebuild,17.954444444444444,19.06051330350836
covtype,rf,AlwaysRebuild,18.63,19.955262538262303
covtype,rf,AlwaysRebuild,19.51888888888889,21.132564162938547
covtype,rf,AlwaysRebuild,20.407777777777778,22.309865787614786
covtype,rf,AlwaysRebuild,22.434444444444445,23.78149281846009
covtype,rf,AlwaysRebuild,23.67888888888889,25.253119849305392
covtype,rf,AlwaysRebuild,24.923333333333332,26.724746880150693
covtype,rf,AlwaysRebuild,25.776666666666667,27.85495643983989
covtype,rf,AlwaysRebuild,26.70111111111111,29.07935012950318
covtype,rf,AlwaysRebuild,27.412222222222223,30.021191429244173
covtype,rf,AlwaysRebuild,30.07888888888889,31.492818460089474
covtype,rf,AlwaysRebuild,32.638888888888886,32.96444549093478
covtype,rf,AlwaysRebuild,34.91444444444444,34.43607252178008
covtype,rf,AlwaysRebuild,35.803333333333335,35.61337414645632
covtype,rf,AlwaysRebuild,36.656666666666666,36.743583706145515
covtype,rf,AlwaysRebuild,37.51,37.873793265834706
covtype,rf,AlwaysRebuild,38.36333333333334,39.0040028255239
covtype,rf,AlwaysRebuild,39.25222222222222,40.181304450200145
covtype,rf,AlwaysRebuild,40.14111111111111,41.358606074876384
covtype,rf,AlwaysRebuild,43.056666666666665,42.83023310572169
covtype,rf,AlwaysRebuild,45.83,44.30186013656699
covtype,rf,AlwaysRebuild,47.75,45.77348716741229
covtype,rf,AlwaysRebuild,49.74111111111111,47.245114198257596
covtype,rf,AlwaysRebuild,51.66111111111111,48.716741229102894
covtype,rf,AlwaysRebuild,52.69222222222222,50.08241111372734
covtype,rf,AlwaysRebuild,53.22555555555556,50.788792088533086
covtype,rf,AlwaysRebuild,54.36333333333334,52.26041911937838
covtype,rf,AlwaysRebuild,55.53666666666667,53.73204615022369
covtype,rf,AlwaysRebuild,57.13666666666666,55.20367318106899
covtype,rf,AlwaysRebuild,58.132222222222225,56.52225100070638
covtype,rf,AlwaysRebuild,58.80777777777778,57.41700023546033
covtype,rf,AlwaysRebuild,59.44777777777778,58.26465740522722
covtype,rf,AlwaysRebuild,61.154444444444444,59.73628443607252
covtype,rf,AlwaysRebuild,61.33222222222222,59.97174476100777
covtype,rf,AlwaysRebuild,61.443333333333335,60.1189074640923
covtype,rf,AlwaysRebuild,61.58111111111111,60.30138921591712
covtype,rf,AlwaysRebuild,61.69222222222222,60.448551919001645
covtype,rf,AlwaysRebuild,61.803333333333335,60.59571462208618
covtype,rf,AlwaysRebuild,61.93666666666667,60.77230986578761
covtype,rf,AlwaysRebuild,62.114444444444445,61.007770190722866
covtype,rf,AlwaysRebuild,62.25666666666667,61.196138450671064
covtype,rf,AlwaysRebuild,62.47,61.47869084059336
covtype,rf,AlwaysRebuild,62.79,61.902519425476804
covtype,rf,AlwaysRebuild,64.14111111111112,63.37414645632211
covtype,rf,AlwaysRebuild,67.19888888888889,64.8457734871674
covtype,rf,AlwaysRebuild,67.5188888888889,65.26960207205086
covtype,rf,AlwaysRebuild,68.23,66.21144337179186
covtype,rf,AlwaysRebuild,69.08333333333333,67.34165293148105
covtype,rf,AlwaysRebuild,69.9011111111111,68.42477042618319
covtype,rf,AlwaysRebuild,70.47,69.17824346597598
covtype,rf,AlwaysRebuild,70.86111111111111,69.69625618083353
covtype,rf,AlwaysRebuild,71.75,70.87355780550978
covtype,rf,AlwaysRebuild,72.49666666666667,71.86249117023782
covtype,rf,AlwaysRebuild,73.45666666666666,73.13397692488816
covtype,rf,AlwaysRebuild,74.41666666666667,74.4054626795385
covtype,rf,AlwaysRebuild,74.98555555555555,75.1589357193313
covtype,rf,AlwaysRebuild,75.69666666666667,76.10077701907228
